,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
463,Prince Rupert,CA,54.3161,-130.3201,64.49,89,100,5.75,overcast clouds
464,Dinanagar,IN,32.15,75.4667,72.0,82,0,3.22,clear sky
465,Ulladulla,AU,-35.35,150.4667,56.3,96,100,4.36,moderate rain
466,Cayenne,GF,4.9333,-52.3333,84.24,70,0,9.22,clear sky
467,Machinga,MW,-15.1685,35.3,76.19,42,72,5.26,broken clouds
468,Melilla,ES,35.2937,-2.9383,73.78,49,0,13.8,clear sky
469,Lata,PT,40.1629,-8.3327,58.91,97,9,2.39,clear sky
470,Christchurch,NZ,-43.5333,172.6333,62.91,72,75,3.44,broken clouds
471,Sinnamary,GF,5.3833,-52.95,79.9,81,75,13.31,broken clouds
472,Iquique,CL,-20.2208,-70.1431,60.84,74,17,7.7,few clouds
473,Kikwit,CD,-5.041,18.8162,73.58,88,94,2.15,light rain
474,Jos,NG,9.9167,8.9,65.57,88,96,2.39,light rain
475,Fortuna,US,40.5982,-124.1573,68.94,69,78,3.0,broken clouds
476,Loa Janan,ID,-0.583,117.095,72.46,97,90,1.77,overcast clouds
477,Saint-Pierre,RE,-21.3393,55.4781,65.88,59,40,3.44,scattered clouds
478,Karaidel,RU,55.8337,56.9069,27.48,79,45,7.29,scattered clouds
479,Odweyne,SO,9.4092,45.064,74.28,60,69,5.53,light rain
480,Enshi,CN,30.3,109.4833,62.15,97,100,1.21,overcast clouds
481,Krasnyye Tkachi,RU,57.4926,39.7563,46.22,93,93,9.31,overcast clouds
482,Kupang,ID,-10.1667,123.5833,77.58,82,73,3.76,broken clouds
483,Portree,GB,57.4129,-6.1942,47.52,91,89,7.67,overcast clouds
484,Kolokani,ML,13.5728,-8.0339,76.86,77,70,2.24,light rain
485,Katobu,ID,-4.9408,122.5276,74.43,86,85,3.33,overcast clouds
486,Ilhabela,BR,-23.7781,-45.3581,68.68,91,100,2.75,moderate rain
487,Lavrentiya,RU,65.5833,-171.0,39.16,77,96,9.64,overcast clouds
488,Tibiri,NE,13.5627,7.0485,83.41,60,74,8.28,broken clouds
489,Zhengjiatun,CN,43.5064,123.5064,59.85,85,0,16.49,clear sky
490,Olafsvik,IS,64.8945,-23.7142,44.46,59,98,8.03,overcast clouds
491,Laguna,US,38.421,-121.4238,90.18,36,0,6.91,clear sky
492,Diffa,NE,13.3154,12.6113,84.78,48,95,4.29,overcast clouds
493,Longyan,CN,25.1072,117.0225,68.58,95,0,3.33,clear sky
494,Biltine,TD,14.5333,20.9167,80.11,54,95,13.69,overcast clouds
495,Malini,RO,47.4667,26.0833,59.02,80,98,3.94,light rain
496,Ayagoz,KZ,47.9714,80.4392,53.53,40,100,8.68,overcast clouds
497,Umm Kaddadah,SD,13.6017,26.6876,88.63,38,1,6.91,clear sky
498,Dingle,PH,10.9995,122.6711,75.58,93,100,1.7,overcast clouds
499,Cairo,EG,30.0626,31.2497,81.36,65,0,11.5,clear sky
500,Tabou,CI,4.423,-7.3528,75.22,93,24,7.9,moderate rain
501,Smidovich,RU,48.6,133.8167,53.4,83,80,9.95,broken clouds
502,Saint-Paul,RE,-21.0096,55.2707,69.89,72,23,3.02,few clouds
503,Willmar,US,45.1219,-95.0433,62.55,25,0,12.66,clear sky
504,Hunchun,CN,42.8675,130.3581,55.09,93,1,1.61,clear sky
505,Liwan,PH,17.5191,121.632,74.57,96,100,1.88,overcast clouds
506,Havre,FR,49.5833,0.3333,56.97,77,75,19.57,light intensity drizzle rain
507,Heihe,CN,50.2441,127.4902,43.38,57,84,11.63,broken clouds
508,San Cristobal,VE,7.7669,-72.225,78.98,68,99,4.12,overcast clouds
509,Benguela,AO,-12.5763,13.4055,71.01,83,57,3.2,broken clouds
510,Quballat,TN,36.5418,9.6633,69.48,68,1,9.8,clear sky
511,Aykhal,RU,66.0,111.5,18.59,95,100,8.5,overcast clouds
512,Port Hedland,AU,-20.3167,118.5667,62.65,51,34,3.44,scattered clouds
513,Victoria,HK,22.2855,114.1577,84.38,77,99,15.99,overcast clouds
514,Pringsewu,ID,-5.3582,104.9744,73.11,97,92,3.8,overcast clouds
515,Askiz,RU,53.1319,90.5264,46.44,87,99,8.63,overcast clouds
516,Warmbad,NA,-28.45,18.7333,66.06,24,27,4.76,scattered clouds
517,Vanersborg,SE,58.3807,12.3234,53.55,82,100,10.36,overcast clouds
518,Springfield,US,37.2153,-93.2982,82.22,30,0,9.22,clear sky
519,San Patricio,US,28.017,-97.5169,90.16,31,3,14.45,clear sky
520,Bowling Green,US,36.9903,-86.4436,73.33,28,0,9.22,clear sky
521,Kouroussa,GN,10.65,-9.8833,72.09,93,17,2.42,light rain
522,Ojinaga,MX,29.5667,-104.4167,87.57,34,40,5.75,scattered clouds
523,Illapel,CL,-31.6308,-71.1653,62.19,62,46,5.64,scattered clouds
524,Itarema,BR,-2.9248,-39.9167,78.3,81,0,16.35,clear sky
525,Gisborne,NZ,-38.6533,178.0042,58.91,55,54,4.72,broken clouds
526,Bereda,ES,43.2686,-7.5406,60.42,94,95,2.1,overcast clouds
527,Touros,BR,-5.1989,-35.4608,76.71,69,6,18.88,clear sky
528,Bentiu,SS,9.2333,29.8333,74.73,77,9,1.77,clear sky
529,Ambulu,ID,-8.345,113.6058,71.28,91,29,3.38,scattered clouds
530,Kandrian,PG,-6.2167,149.55,80.49,79,100,2.95,overcast clouds
531,Sabha,LY,27.0377,14.4283,88.52,19,0,7.2,clear sky
532,Weligama,LK,5.9667,80.4167,77.83,86,95,11.56,overcast clouds
533,Amasya,TR,40.6667,35.8333,56.88,14,91,4.29,overcast clouds
534,Northam,GB,51.0333,-4.2167,55.38,81,100,13.38,overcast clouds
535,Palm Springs,US,33.8303,-116.5453,109.89,13,0,9.22,clear sky
536,Tezu,IN,27.9167,96.1667,73.51,81,17,2.77,few clouds
537,Hasaki,JP,35.7333,140.8333,66.6,66,99,21.03,overcast clouds
538,Vila Real,PT,41.3006,-7.7441,59.13,65,1,3.31,clear sky
539,Ornskoldsvik,SE,63.2909,18.7153,47.35,100,100,6.91,overcast clouds
540,Senador Jose Porfirio,BR,-2.5908,-51.9542,81.77,64,55,0.87,broken clouds
541,Baldone,LV,56.7428,24.3944,49.75,83,30,6.49,scattered clouds
542,Chara,RU,56.9064,118.2631,25.02,83,68,1.81,broken clouds
543,Saint Anthony,US,45.0205,-93.218,60.42,38,0,12.66,clear sky
544,Nizwa,OM,22.9333,57.5333,78.89,60,0,3.0,clear sky
545,Mnogovershinnyy,RU,53.9353,139.9242,38.57,73,92,2.3,overcast clouds
546,Nabire,ID,-3.3667,135.4833,75.38,91,99,3.04,overcast clouds
547,Praia,CV,14.9215,-23.5087,81.14,74,20,6.91,few clouds
548,Sao Sebastiao,BR,-23.76,-45.4097,68.5,91,100,2.59,moderate rain
549,Erenhot,CN,43.6475,111.9767,62.89,28,41,11.88,scattered clouds
550,Goure,NE,13.9835,10.2704,82.02,47,92,13.06,overcast clouds
551,Ust-Nera,RU,64.5667,143.2,24.96,99,99,5.14,overcast clouds
552,Sault Sainte Marie,CA,46.5168,-84.3333,52.36,76,100,10.36,overcast clouds
553,Iracoubo,GF,5.4802,-53.2011,79.93,80,47,12.62,scattered clouds
554,Yafran,LY,32.0633,12.5286,77.32,52,100,5.1,overcast clouds
555,Khandyga,RU,62.6667,135.6,35.73,99,100,3.13,light rain
556,Erzin,TR,36.9559,36.2,68.31,71,1,2.06,clear sky
557,Hirara,JP,24.8,125.2833,79.07,94,40,4.61,scattered clouds
558,Wolgast,DE,54.05,13.7667,49.5,92,100,10.38,overcast clouds
559,General Pico,AR,-35.6566,-63.7568,69.39,25,49,9.51,scattered clouds
560,Abu Kamal,SY,34.4506,40.9171,77.43,14,0,9.46,clear sky
561,Camacupa,AO,-12.0167,17.4833,69.66,45,100,2.59,overcast clouds
562,West Wendover,US,40.7391,-114.0733,76.21,19,0,6.91,clear sky
563,Oranjemund,NA,-28.55,16.4333,54.79,83,14,8.08,few clouds
564,Marienburg,PL,54.0359,19.0266,54.84,87,100,4.99,overcast clouds
565,El Tigre,VE,8.8875,-64.2454,81.37,72,100,3.42,overcast clouds
566,Nisia Floresta,BR,-6.0911,-35.2086,80.98,71,4,12.3,clear sky
567,Praya,CV,14.9215,-23.5087,81.14,74,20,6.91,few clouds
568,Baruun-Urt,MN,46.6806,113.2792,44.42,60,3,9.53,clear sky
569,Port Hardy,CA,50.6996,-127.4199,55.58,100,100,3.44,fog
570,Khash,IR,28.2211,61.2158,66.33,25,0,3.53,clear sky
571,Suratgarh,IN,29.3167,73.9,83.28,51,0,7.36,clear sky
572,Igunga,TZ,-4.2833,33.8833,74.61,39,94,12.39,overcast clouds
573,Bonthe,SL,7.5264,-12.505,76.5,87,98,5.5,overcast clouds
574,Klaksvik,FO,62.2266,-6.589,45.52,90,75,20.22,broken clouds
575,Trairi,BR,-3.2778,-39.2689,78.3,79,0,11.65,clear sky
576,Luanda,AO,-8.8368,13.2343,72.0,84,95,10.31,overcast clouds
577,Ranong,TH,9.9658,98.6348,78.42,86,100,9.75,overcast clouds
578,Cognac,FR,45.5,-0.25,62.2,94,100,13.8,overcast clouds
579,Wilmington,US,34.2257,-77.9447,75.11,53,100,1.99,overcast clouds
580,Port Macquarie,AU,-31.4333,152.9167,60.89,100,100,5.75,overcast clouds
581,La Cruz,MX,23.9167,-106.9,88.18,70,3,6.98,clear sky
582,Arlit,NE,18.7369,7.3853,98.11,12,80,10.49,broken clouds
583,Huarmey,PE,-10.0681,-78.1522,65.05,76,84,11.16,broken clouds
584,Kishtwar,IN,33.3167,75.7667,57.99,82,1,3.2,clear sky
585,Tarakan,ID,3.3,117.6333,76.5,94,40,4.61,scattered clouds
586,Cam Ranh,VN,11.9214,109.1591,78.76,78,40,16.11,scattered clouds
587,Tevriz,RU,57.509,72.4042,26.51,85,93,4.85,overcast clouds
588,Victor Harbor,AU,-35.5667,138.6167,50.68,88,95,11.7,overcast clouds
589,Dali,CN,25.7,100.1833,58.3,92,5,0.94,clear sky
590,Tirlyanskiy,RU,54.2109,58.5806,25.88,97,99,2.21,overcast clouds
591,Saint-Augustin,CA,51.226,-58.6502,54.79,97,86,6.2,overcast clouds
592,Anito,PH,12.4497,125.2886,77.05,89,100,3.65,light rain
593,Ust-Maya,RU,60.4167,134.5333,28.31,95,100,5.48,overcast clouds
594,Ndele,CF,8.4109,20.6473,68.54,99,99,2.13,overcast clouds
595,Traralgon,AU,-38.1833,146.5333,53.53,99,99,2.21,overcast clouds
596,Vanavara,RU,60.34,102.2797,27.27,93,99,3.65,overcast clouds
597,Marathon,US,44.9,-89.7668,53.13,66,100,11.5,overcast clouds
598,Sale,MA,34.0389,-6.8166,69.75,88,40,0.0,scattered clouds
599,Kiama,AU,-34.6833,150.8667,64.0,94,94,1.99,overcast clouds
600,Mayen,DE,50.3333,7.2167,48.34,91,97,10.98,overcast clouds
601,Colac,AU,-38.3333,143.5833,52.18,83,97,8.23,overcast clouds
602,Pangody,RU,65.85,74.4859,26.83,91,79,9.44,broken clouds
603,Anloga,GH,5.7947,0.8973,77.65,87,95,12.53,overcast clouds
604,Morgan City,US,29.6994,-91.2068,84.0,31,1,12.44,clear sky
605,Beringovskiy,RU,63.05,179.3167,33.39,77,81,11.86,broken clouds
606,Forestville,US,38.8451,-76.875,70.23,40,20,12.66,few clouds
607,Povenets,RU,62.8487,34.8262,44.78,93,100,7.78,overcast clouds
608,Aras,ES,42.5617,-2.356,57.61,63,75,2.3,broken clouds
609,Ishii,JP,34.0667,134.4333,71.51,88,75,5.75,light rain
610,San Jeronimo,PE,-11.9472,-75.2829,51.26,79,100,11.72,overcast clouds
611,Lavumisa,SZ,-27.31,31.892,72.37,83,63,2.86,broken clouds
612,Fallon,US,39.4735,-118.7774,91.92,13,20,6.91,few clouds
613,Vostok,RU,46.4856,135.8833,47.82,71,0,4.76,clear sky
614,Bairiki,KI,1.3292,172.9752,84.2,74,40,11.5,scattered clouds
615,Pascagoula,US,30.3658,-88.5561,83.12,36,0,14.74,clear sky
616,Raymond,US,43.9015,-70.4703,66.51,67,58,5.61,broken clouds
617,Ketchikan,US,55.3422,-131.6461,61.77,87,100,3.13,overcast clouds
618,Boo,SE,59.3333,18.2833,56.98,85,100,11.5,overcast clouds
619,Kodinar,IN,20.7903,70.7031,76.39,81,2,6.49,clear sky
620,Kibungo,RW,-2.1597,30.5427,67.12,82,71,2.26,broken clouds
621,Marovoay,MG,-16.1,46.6333,69.78,58,0,3.29,clear sky
622,Kailua,US,21.4022,-157.7394,87.78,57,40,10.36,scattered clouds
623,Waterloo,CA,43.4668,-80.5164,56.01,94,100,14.97,moderate rain
624,Bouar,CF,5.934,15.596,63.3,98,87,3.31,overcast clouds
625,Talcahuano,CL,-36.7167,-73.1167,64.08,59,0,16.11,clear sky
626,Vanimo,PG,-2.6741,141.3028,78.15,88,100,4.61,overcast clouds
627,Vuktyl,RU,63.8567,57.3094,28.92,67,3,0.83,clear sky
628,Marsabit,KE,2.3284,37.9899,68.54,47,3,13.78,clear sky
629,Xiamen,CN,24.4798,118.0819,80.26,83,75,2.24,broken clouds
630,Husavik,IS,66.0449,-17.3389,37.67,72,60,3.36,broken clouds
631,Richards Bay,ZA,-28.783,32.0377,69.8,96,11,4.65,light rain
632,Vestmannaeyjar,IS,63.4427,-20.2734,48.25,66,96,8.14,overcast clouds
633,Vardo,NO,70.3705,31.1107,46.38,93,100,4.61,overcast clouds
634,Mastic Beach,US,40.7668,-72.8521,70.11,57,0,17.0,clear sky
635,Verkhnyaya Inta,RU,65.9811,60.3094,26.33,82,12,4.25,few clouds
636,Port Moresby,PG,-9.4431,147.1797,74.62,94,40,5.75,haze
637,Anchorage,US,61.2181,-149.9003,54.09,62,0,8.05,clear sky
638,Lazurne,UA,46.084,32.5295,65.91,91,100,14.38,overcast clouds
639,Irbil,IQ,36.1926,44.0106,80.33,19,0,2.3,clear sky
640,Barcelos,PT,41.5388,-8.6151,63.91,88,1,7.61,clear sky
641,Baoning,CN,25.3378,110.026,73.26,68,0,2.24,clear sky
642,Ulaangom,MN,49.9811,92.0667,49.78,45,13,1.99,few clouds
643,Whitehorse,CA,60.7161,-135.0538,57.02,35,75,16.11,broken clouds
644,Abu Dhabi,AE,24.4667,54.3667,87.91,80,20,6.91,few clouds
645,Bilma,NE,18.6853,12.9164,91.65,14,23,6.15,few clouds
646,Oyama,JP,36.3,139.8,71.58,64,93,6.04,overcast clouds
647,Alice Springs,AU,-23.7,133.8833,59.22,65,8,3.0,clear sky
648,The Pas,CA,53.8251,-101.2541,64.42,45,0,16.11,clear sky
649,Sitangkai,PH,4.6628,119.3928,83.32,74,97,6.02,overcast clouds
650,Mastung,PK,29.7994,66.845,65.48,23,0,2.21,clear sky
651,Kulhudhuffushi,MV,6.6221,73.07,80.49,77,61,16.08,broken clouds
652,Dhidhdhoo,MV,6.8833,73.1,81.37,74,54,16.55,broken clouds
653,Hvolsvollur,IS,63.7533,-20.2243,43.61,70,100,2.06,overcast clouds
654,Chunskiy,RU,56.0815,99.6342,34.41,92,100,6.13,light snow
655,Washington,US,47.5001,-120.5015,87.15,24,0,4.83,clear sky
656,Alma,CA,48.5501,-71.6491,56.41,94,100,5.75,overcast clouds
657,Wewak,PG,-3.5534,143.6268,79.39,84,100,4.56,light rain
658,Loei,TH,17.4167,101.5,63.32,93,100,3.36,overcast clouds
659,Byron Bay,AU,-28.65,153.6167,69.94,80,100,12.15,overcast clouds
660,Yerbogachen,RU,61.2767,108.0108,24.6,99,78,1.79,broken clouds
661,Pokhara,NP,28.2333,83.9833,65.41,75,0,5.77,clear sky
662,Kamaishi,JP,39.2667,141.8833,64.26,65,100,10.33,overcast clouds
663,Mangai,CD,-4.05,19.5333,71.47,95,52,2.48,broken clouds
664,Haines Junction,CA,60.7522,-137.5108,53.55,37,80,6.91,broken clouds
665,Desna,UA,50.9273,30.7605,53.85,98,58,5.17,broken clouds
666,Borborema,BR,-21.6197,-49.0736,73.33,81,100,2.01,overcast clouds
667,Civitavecchia,IT,42.0933,11.7967,67.82,89,5,11.1,clear sky
668,Yarkovo,RU,57.4028,67.0786,24.28,87,70,6.24,broken clouds
669,Nago,JP,26.5881,127.9761,79.65,83,9,3.8,clear sky
670,Guiratinga,BR,-16.3494,-53.7583,83.05,50,58,7.45,broken clouds
671,Goba,ET,7.0167,39.9833,50.94,87,55,2.08,broken clouds
672,Khani,GE,41.9563,42.9566,51.37,43,79,7.0,broken clouds
673,Sinjar,IQ,36.3209,41.8754,77.95,12,0,7.56,clear sky
674,Damietta,EG,31.4165,31.8133,78.69,63,0,6.2,clear sky
675,Muisne,EC,0.6,-80.0333,74.17,83,100,9.28,overcast clouds
676,Swift Current,CA,50.2834,-107.8014,79.61,29,0,21.85,clear sky
677,La Ronge,CA,55.1001,-105.2842,71.85,28,40,14.97,scattered clouds
678,Comarapa,BO,-17.9,-64.4833,59.31,82,73,5.12,broken clouds
679,Chicama,PE,-7.8447,-79.1469,61.34,69,41,9.37,scattered clouds
680,Ambilobe,MG,-13.2,49.05,65.75,74,0,4.16,clear sky
681,Am Timan,TD,11.0297,20.2827,67.71,96,100,8.39,light rain
682,Khor,RU,47.8861,134.9464,52.03,80,43,8.93,scattered clouds
683,Abong Mbang,CM,3.9833,13.1833,66.16,99,73,2.91,broken clouds
684,Kropotkin,RU,45.4375,40.5756,62.87,56,100,2.57,overcast clouds
685,Abakaliki,NG,6.3163,8.1169,74.17,93,100,7.78,overcast clouds
686,Yantzaza,EC,-3.8278,-78.7594,78.39,60,100,0.31,overcast clouds
687,Nezhinka,RU,51.7676,55.3694,41.16,93,100,6.71,mist
688,Chapais,CA,49.7834,-74.8492,53.38,85,100,4.0,overcast clouds
689,Luau,AO,-10.7073,22.2247,69.4,55,65,0.76,broken clouds
690,Buguda,IN,19.8167,84.8,76.32,90,91,1.68,overcast clouds
691,Egvekinot,RU,66.3167,-179.1667,28.15,76,100,10.96,overcast clouds
692,Taraclia,MD,45.9,28.6689,63.03,81,89,6.8,overcast clouds
693,Manaus,BR,-3.1019,-60.025,93.7,55,20,5.75,few clouds
694,College,US,64.8569,-147.8028,40.59,92,100,4.61,fog
695,Avera,US,33.194,-82.5271,78.85,24,69,7.49,broken clouds
696,Maningrida,AU,-12.0667,134.2667,78.73,83,86,5.53,overcast clouds
